 run burst level fpga channel peak over_thr peak_space peak_time a b c d e timestamp
50 6235.0 41446 l1 PP2 2.0 4.0 1.0 1.0 1.0 0.0 2.0 8.0 11.0 8.0 80005144.0
51 6235.0 41446 l1 PP2 2.0 5.0 1.0 1.0 0.0 0.0 6.0 9.0 6.0 1.0 80005145.0
52 6235.0 41446 l1 PP2 2.0 6.0 1.0 1.0 1.0 0.0 2.0 6.0 7.0 3.0 80005208.0
53 6235.0 41446 l1 PP2 2.0 7.0 1.0 1.0 0.0 0.0 0.0 0.0 6.0 16.0 80006149.0
54 6235.0 41446 l1 PP2 2.0 8.0 1.0 1.0 0.0 0.0 0.0 6.0 16.0 17.0 80006150.0
55 6235.0 41446 l1 PP2 2.0 9.0 1.0 1.0 1.0 0.0 7.0 17.0 18.0 11.0 80006151.0
56 6235.0 41446 l1 PP2 2.0 10.0 1.0 1.0 0.0 0.0 2.0 3.0 7.0 9.0 80006491.0
57 6235.0 41446 l1 PP2 2.0 11.0 1.0 1.0 1.0 0.0 1.0 5.0 7.0 4.0 80006492.0
58 6235.0 41446 l1 PP2 2.0 12.0 1.0 1.0 0.0 0.0 0.0 1.0 38.0 128.0 80007501.0
61 6235.0 41446 l1 PP2 2.0 15.0 1.0 1.0 0.0 0.0 90.0 118.0 66.0 7.0 80007504.0
62 6235.0 41446 l1 PP2 2.0 16.0 1.0 1.0 0.0 0.0 0.0 1.0 34.0 86.0 80007751.0
63 6235.0 41446 l1 PP2 2.0 17.0 1.0 1.0 0.0 0.0 1.0 34.0 86.0 90.0 80007752.0
64 6235.0 41446 l1 PP2 2.0 18.0 1.0 1.0 1.0 0.0 33.0 85.0 89.0 53.0 80007753.0
65 6235.0 41446 l1 PP2 2.0 19.0 1.0 1.0 0.0 0.0 52.0 56.0 20.0 0.0 80007754.0
66 6235.0 41446 l1 PP2 3.0 0.0 1.0 1.0 0.0 0.0 0.0 2.0 6.0 13.0 80001568.0
