 run burst level fpga channel peak over_thr peak_space peak_time a b c d e timestamp
84 6235.0 41463 l1 PP0 4.0 0.0 1.0 1.0 0.0 0.0 0.0 2.0 18.0 48.0 80001857.0
87 6235.0 41463 l1 PP0 4.0 3.0 1.0 1.0 0.0 0.0 30.0 44.0 29.0 1.0 80001860.0
88 6235.0 41463 l1 PP0 4.0 4.0 1.0 1.0 0.0 0.0 0.0 0.0 8.0 15.0 80001866.0
93 6235.0 41463 l1 PP0 4.0 9.0 1.0 1.0 1.0 0.0 4.0 6.0 6.0 5.0 80001871.0
94 6235.0 41477 l1 PP2 2.0 0.0 1.0 1.0 1.0 0.0 0.0 3.0 6.0 4.0 80003920.0
95 6235.0 41477 l1 PP2 2.0 1.0 1.0 1.0 1.0 0.0 0.0 3.0 6.0 5.0 80007430.0
96 6235.0 41477 l1 PP2 3.0 0.0 1.0 1.0 0.0 0.0 0.0 2.0 9.0 13.0 80002936.0
98 6235.0 41477 l1 PP2 3.0 2.0 1.0 1.0 0.0 0.0 7.0 11.0 7.0 2.0 80002938.0
99 6235.0 41477 l1 PP2 4.0 0.0 1.0 1.0 0.0 0.0 0.0 2.0 7.0 9.0 80007210.0
101 6235.0 41477 l1 PP3 0.0 0.0 1.0 1.0 0.0 0.0 1.0 1.0 6.0 39.0 80001917.0
102 6235.0 41477 l1 PP3 0.0 1.0 1.0 1.0 0.0 0.0 0.0 5.0 38.0 64.0 80001918.0
104 6235.0 41477 l1 PP3 0.0 3.0 1.0 1.0 0.0 0.0 33.0 59.0 46.0 18.0 80001920.0
105 6235.0 41477 l1 PP3 1.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 10.0 82.0 80001917.0
106 6235.0 41477 l1 PP3 1.0 1.0 1.0 1.0 0.0 0.0 0.0 11.0 83.0 145.0 80001918.0
108 6235.0 41477 l1 PP3 1.0 3.0 1.0 1.0 0.0 0.0 72.0 134.0 112.0 52.0 80001920.0
110 6235.0 41477 l1 PP3 1.0 5.0 1.0 1.0 0.0 0.0 5.0 7.0 6.0 3.0 80001983.0
111 6235.0 41477 l1 PP3 2.0 0.0 1.0 1.0 1.0 0.0 0.0 4.0 6.0 5.0 80002263.0
112 6235.0 41477 l1 PP3 2.0 1.0 1.0 1.0 0.0 0.0 0.0 5.0 22.0 32.0 80006204.0
114 6235.0 41477 l1 PP3 2.0 3.0 1.0 1.0 0.0 0.0 17.0 27.0 20.0 5.0 80006206.0
115 6235.0 41477 l1 PP3 3.0 0.0 1.0 1.0 1.0 0.0 0.0 5.0 7.0 6.0 80002442.0
116 6235.0 41477 l1 PP3 3.0 1.0 1.0 1.0 0.0 0.0 5.0 7.0 6.0 3.0 80002443.0
117 6235.0 41477 l1 PP3 5.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 6.0 10.0 80000874.0
119 6235.0 41477 l1 PP3 5.0 2.0 1.0 1.0 0.0 0.0 6.0 10.0 9.0 5.0 80000876.0
120 6235.0 41477 l1 PP3 5.0 3.0 1.0 1.0 0.0 0.0 0.0 3.0 7.0 10.0 80005957.0
124 6235.0 41477 l1 PP1 0.0 0.0 1.0 1.0 1.0 0.0 0.0 4.0 10.0 9.0 80005406.0
125 6235.0 41477 l1 PP1 0.0 1.0 1.0 1.0 0.0 0.0 4.0 10.0 9.0 5.0 80005407.0
127 6235.0 41477 l1 PP1 5.0 0.0 1.0 1.0 0.0 0.0 0.0 3.0 6.0 7.0 80000249.0
129 6235.0 41477 l1 PP1 5.0 2.0 1.0 1.0 1.0 0.0 0.0 4.0 10.0 9.0 80001460.0
130 6235.0 41477 l1 PP1 5.0 3.0 1.0 1.0 0.0 0.0 4.0 10.0 9.0 5.0 80001461.0
132 6235.0 41470 l1 PP2 2.0 0.0 1.0 1.0 0.0 0.0 0.0 4.0 17.0 22.0 80003365.0
134 6235.0 41470 l1 PP2 2.0 2.0 1.0 1.0 0.0 0.0 13.0 18.0 12.0 4.0 80003367.0
136 6235.0 41470 l1 PP2 3.0 1.0 1.0 1.0 1.0 0.0 3.0 6.0 6.0 3.0 80002892.0
137 6235.0 41470 l1 PP2 3.0 2.0 1.0 1.0 0.0 0.0 0.0 0.0 6.0 29.0 80003364.0
138 6235.0 41470 l1 PP2 3.0 3.0 1.0 1.0 0.0 0.0 0.0 6.0 29.0 40.0 80003365.0
140 6235.0 41470 l1 PP2 3.0 5.0 1.0 1.0 0.0 0.0 23.0 34.0 23.0 7.0 80003367.0
145 6235.0 41470 l1 PP2 5.0 2.0 1.0 1.0 0.0 0.0 9.0 11.0 8.0 1.0 80001502.0
146 6235.0 41470 l1 PP2 5.0 3.0 1.0 1.0 1.0 0.0 0.0 6.0 10.0 8.0 80005410.0
147 6235.0 41470 l1 PP2 5.0 4.0 1.0 1.0 0.0 0.0 6.0 10.0 8.0 4.0 80005411.0
148 6235.0 41470 l1 PP2 6.0 0.0 1.0 1.0 0.0 0.0 0.0 1.0 9.0 12.0 80005409.0
150 6235.0 41470 l1 PP2 6.0 2.0 1.0 1.0 0.0 0.0 8.0 11.0 8.0 3.0 80005411.0
153 6235.0 41470 l1 PP3 0.0 0.0 1.0 1.0 0.0 0.0 0.0 4.0 12.0 13.0 80000671.0
155 6235.0 41470 l1 PP3 0.0 2.0 1.0 1.0 0.0 0.0 3.0 3.0 6.0 13.0 80002892.0
156 6235.0 41470 l1 PP3 0.0 3.0 1.0 1.0 0.0 0.0 0.0 3.0 10.0 13.0 80002893.0
158 6235.0 41470 l1 PP3 1.0 0.0 1.0 1.0 0.0 0.0 0.0 2.0 9.0 11.0 80000671.0
163 6235.0 41470 l1 PP3 1.0 5.0 1.0 1.0 0.0 0.0 22.0 29.0 17.0 3.0 80004469.0
164 6235.0 41470 l1 PP3 1.0 6.0 1.0 1.0 1.0 0.0 0.0 4.0 6.0 3.0 80005414.0
167 6235.0 41470 l1 PP3 2.0 2.0 1.0 1.0 0.0 0.0 4.0 10.0 7.0 2.0 80000368.0
168 6235.0 41470 l1 PP1 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 30.0 96.0 80000670.0
169 6235.0 41470 l1 PP1 0.0 1.0 1.0 1.0 0.0 0.0 0.0 31.0 97.0 116.0 80000671.0
171 6235.0 41470 l1 PP1 0.0 3.0 1.0 1.0 0.0 0.0 66.0 85.0 48.0 2.0 80000673.0
174 6235.0 41470 l1 PP0 3.0 0.0 1.0 1.0 1.0 0.0 0.0 2.0 7.0 7.0 80007817.0
175 6235.0 41470 l1 PP0 3.0 1.0 1.0 1.0 1.0 0.0 2.0 7.0 7.0 4.0 80007818.0
176 6235.0 41470 l1 PP0 5.0 0.0 1.0 1.0 0.0 0.0 0.0 2.0 11.0 17.0 80005409.0
178 6235.0 41470 l1 PP0 5.0 2.0 1.0 1.0 0.0 0.0 9.0 15.0 10.0 5.0 80005411.0
179 6235.0 41470 l1 PP0 6.0 0.0 1.0 1.0 0.0 0.0 0.0 2.0 10.0 15.0 80005409.0
181 6235.0 41470 l1 PP0 6.0 2.0 1.0 1.0 0.0 0.0 8.0 13.0 9.0 3.0 80005411.0
182 6235.0 41470 l1 PP0 7.0 0.0 1.0 1.0 0.0 0.0 0.0 4.0 15.0 18.0 80000671.0
184 6235.0 41470 l1 PP0 7.0 2.0 1.0 1.0 0.0 0.0 11.0 14.0 7.0 0.0 80000673.0
185 6235.0 41470 l1 PP0 7.0 3.0 1.0 1.0 0.0 0.0 0.0 2.0 7.0 10.0 80001134.0
187 6235.0 41470 l1 PP0 7.0 5.0 1.0 1.0 0.0 0.0 0.0 1.0 6.0 10.0 80005409.0
189 6235.0 41470 l1 PP0 7.0 7.0 1.0 1.0 0.0 0.0 5.0 9.0 7.0 2.0 80005411.0
194 6235.0 41454 l1 PP2 3.0 2.0 1.0 1.0 0.0 0.0 0.0 2.0 8.0 10.0 80006989.0
196 6235.0 41454 l1 PP2 4.0 0.0 1.0 1.0 0.0 0.0 0.0 1.0 24.0 48.0 80002675.0
198 6235.0 41454 l1 PP2 4.0 2.0 1.0 1.0 0.0 0.0 23.0 47.0 43.0 23.0 80002677.0
200 6235.0 41454 l1 PP2 4.0 4.0 1.0 1.0 0.0 0.0 0.0 0.0 10.0 63.0 80004806.0
201 6235.0 41454 l1 PP2 4.0 5.0 1.0 1.0 0.0 0.0 0.0 10.0 63.0 94.0 80004807.0
203 6235.0 41454 l1 PP2 4.0 7.0 1.0 1.0 0.0 0.0 53.0 84.0 61.0 23.0 80004809.0
204 6235.0 41454 l1 PP2 4.0 8.0 1.0 1.0 0.0 0.0 0.0 1.0 7.0 8.0 80006989.0
206 6235.0 41454 l1 PP2 5.0 0.0 1.0 1.0 1.0 0.0 0.0 3.0 7.0 6.0 80002676.0
207 6235.0 41454 l1 PP2 5.0 1.0 1.0 1.0 0.0 0.0 4.0 8.0 7.0 4.0 80002677.0
208 6235.0 41454 l1 PP2 5.0 2.0 1.0 1.0 0.0 0.0 0.0 0.0 12.0 69.0 80004806.0
209 6235.0 41454 l1 PP2 5.0 3.0 1.0 1.0 0.0 0.0 0.0 12.0 69.0 113.0 80004807.0
211 6235.0 41454 l1 PP2 5.0 5.0 1.0 1.0 0.0 0.0 57.0 101.0 82.0 35.0 80004809.0
212 6235.0 41454 l1 PP2 6.0 0.0 1.0 1.0 0.0 0.0 0.0 2.0 6.0 7.0 80002688.0
214 6235.0 41454 l1 PP2 6.0 2.0 1.0 1.0 0.0 0.0 0.0 1.0 8.0 11.0 80003527.0
216 6235.0 41454 l1 PP2 6.0 4.0 1.0 1.0 0.0 0.0 7.0 10.0 6.0 3.0 80003529.0
217 6235.0 41454 l1 PP2 7.0 0.0 1.0 1.0 0.0 0.0 0.0 1.0 6.0 7.0 80002688.0
219 6235.0 41454 l1 PP2 7.0 2.0 1.0 1.0 0.0 0.0 0.0 2.0 6.0 10.0 80005020.0
221 6235.0 41454 l1 PP2 7.0 4.0 1.0 1.0 0.0 0.0 4.0 8.0 7.0 3.0 80005022.0
222 6235.0 41454 l1 PP3 0.0 0.0 1.0 1.0 0.0 0.0 0.0 1.0 8.0 12.0 80001916.0
224 6235.0 41454 l1 PP3 0.0 2.0 1.0 1.0 0.0 0.0 7.0 11.0 10.0 5.0 80001918.0
225 6235.0 41454 l1 PP3 0.0 3.0 1.0 1.0 0.0 0.0 0.0 2.0 10.0 17.0 80003919.0
227 6235.0 41454 l1 PP3 0.0 5.0 1.0 1.0 0.0 0.0 8.0 15.0 13.0 5.0 80003921.0
229 6235.0 41454 l1 PP3 0.0 7.0 1.0 1.0 0.0 0.0 4.0 8.0 7.0 3.0 80005126.0
230 6235.0 41454 l1 PP3 0.0 8.0 1.0 1.0 1.0 0.0 0.0 4.0 6.0 5.0 80006186.0
234 6235.0 41454 l1 PP3 6.0 2.0 1.0 1.0 0.0 0.0 7.0 16.0 14.0 7.0 80005708.0
238 6235.0 41454 l1 PP1 4.0 3.0 1.0 1.0 0.0 0.0 5.0 9.0 8.0 5.0 80007972.0
239 6235.0 41454 l1 PP1 5.0 0.0 1.0 1.0 0.0 0.0 0.0 3.0 10.0 11.0 80007754.0
241 6235.0 41454 l1 PP0 3.0 0.0 1.0 1.0 1.0 0.0 0.0 4.0 9.0 8.0 80005677.0
242 6235.0 41454 l1 PP0 3.0 1.0 1.0 1.0 0.0 0.0 4.0 9.0 8.0 4.0 80005678.0
243 6235.0 41454 l1 PP0 3.0 2.0 1.0 1.0 1.0 0.0 0.0 3.0 6.0 6.0 80005749.0
244 6235.0 41454 l1 PP0 3.0 3.0 1.0 1.0 1.0 0.0 3.0 6.0 6.0 3.0 80005750.0
245 6235.0 41454 l1 PP0 3.0 4.0 1.0 1.0 1.0 0.0 0.0 4.0 8.0 8.0 80006540.0
246 6235.0 41454 l1 PP0 3.0 5.0 1.0 1.0 1.0 0.0 4.0 8.0 8.0 5.0 80006541.0
247 6235.0 41454 l1 PP0 4.0 0.0 1.0 1.0 0.0 0.0 0.0 2.0 8.0 10.0 80005749.0
249 6235.0 41454 l1 PP0 5.0 0.0 1.0 1.0 1.0 0.0 0.0 4.0 6.0 6.0 80004808.0
250 6235.0 41454 l1 PP0 5.0 1.0 1.0 1.0 1.0 0.0 4.0 6.0 6.0 4.0 80004809.0
251 6235.0 41454 l1 PP0 6.0 0.0 1.0 1.0 0.0 0.0 0.0 3.0 12.0 15.0 80002688.0
253 6235.0 41454 l1 PP0 6.0 2.0 1.0 1.0 0.0 0.0 9.0 12.0 7.0 1.0 80002690.0
